index,class,tweet
62,1,female think dating pussy cute now? doe this stuff make a pussy? 
63,2,-simplyaddictedtoguys woof woof hot scally lad 
64,1,"ya ever asked bitch other bitch - kanye voice"" yes "
65,1,"u gone bring ur side bitch a game you know ya gf friend ?! ;;;;"" swear!!!!! "
66,2,woof woof hot sol 
67,2,"lemmie eat oreo &amp; these dishes."" one oreo? lol "
68,1,bitch fuck u maybe get better. 
69,1,"fuck red malone man bitch niggah"" could please use complete sentences? "
70,2,"the eggplant emoji doe?""y say looked like scream lmao "
71,1,hennessey venom gt ; that's one sexy bitch 
72,1,"seh pussy wetter a shower curtain....#ahmesehwetness""&lt;lmao!! "
73,1,"eaglesnation every eagles need see pic posted that bitch just said most racist shit"" "
74,1,"yo fuck skateboarding, y'all wood pushing faggot man, ball life "
75,2,baby monkey bathtime awwwwe! is soooo adorable! 
76,1,";;;; ain't shit ."" damn skippy lol "
77,1,"u ever kill ant the sidewalk think damn if nigga wa his way get pussy""no b must b &gt;30%chance "
78,1,0 ring 0 mvp 0 bitch lol 
79,1,"ppl talk bad the ghetto/hood ... kid growing up, a nigga funnnnnnn !"" "
80,1,fact tattoos...tattoo he's pussy not tattooing nipple 
81,1,";;; rt bitch wanting act like nigga bad ;;; shit aint cuteeeee"" nigga act like bitches.. "
82,1,get worshiping bitch! woof woof 
83,1,wow. rt i'm lost. those buttcheek piercings? yeah a hoe 
84,1,"ok, sis."" she'd rather a broke bitch? *shrugs* she'll to tell how work her "
85,0,"queer"" gaywad "
86,1,"faggot read tweet dat k"" wasn't even funny lol "
87,1,bitch wa ungrateful fr ..... lulwhore 
88,1,"been kidnapped yo bitch"" "
89,0,"alsarabsss"" a beaner smh can tell a mexican "
90,1,"happy birthday nigs"" thanks yo "
91,1,ur teacher tell u u homework bitch need go!!! 
92,1,"nigga wa eating hoe lol"" hell yea lol john paul"" nigga said john paul.. "
93,1,"would y'all lil ugly bald headed bitch if stop making make-up &amp; weave?"" "
94,1,"leaf better win damn game i go riot shit earlychristmas"" better start looting nig "
95,1,"going back school suck dick the hoe attend it."" "
96,1,my way fuck yo bitch a 9 year old 
97,1,"come never bring food"" dont a car retard "
98,1,"richnow show with hella tinder hoe im his friend anymore"" chill brought like like 8 prople "
99,1,"bout cowboys!!!!"" shutup pussy "
100,1,lmaooooooooooo nigga &lt;bitch want like some depressing shit..foh 
101,1,"girl know wa spitting g shit &amp; you wa going lbvs""bitch plz "
102,1,"let make couple tweet cuzzo page, i get twitter jail.""lmao bitch trick again "
103,1,"harlem shake just excuse go full retard 30 seconds."" "
104,1,"amen miley ; ""okay, she need act like hoe bc ""emotionally damaged"" foh "
105,1,"one loyal female wayyyyy better having hoe , idc ;"" "
106,1,"pussy licking pussy.... meow meow stopwhitepeople2014 ; 8221;"""""""" ; "
107,1,"check our 12th man. cowboysnation"" even all faggot ny fan the stand "
108,1,"happen them vixen ent bitches"" got ran threw the side like foothill bitch "
109,1,"im bitch okay nude pat ;;;"" wow "
110,0,"fucking gay, blacklisted hoe"" holding for tehgodclan anyway "
111,1,"fuck wrong these bitches?"" nobody know "
112,1,"yall shut up:p"" make bitch "
113,1,"hate ""i'm pregnant"" type bitch."" "
114,1,"got bitch the dm i ever read'em"" is your top 3 "
115,2,"baseball season the win. yankees"" is the love started "
116,1,"little stupid bitch don't fuck yoooooouuuu.."" "
117,1,"really asked that dead serious tho, i could say wa ""bitch wheet"" lol "
118,2,"i'm early bird i'm night owl, i'm wise have worms."" "
119,2,"overdosing heavy drug sound bad tonight."" do pussy shit every day. "
120,2,pit bull photographed lovely fairy tale creature 8221; *are* fairy tale creatures. 
121,1,"aw."" ...fag, tweet ""aw"" me lol "
122,2,"long the lakers trash now on, could careless. that's real."". cc: hahaha "
123,1,"didn't say anything tho"" kiss then faggot "
124,2,"the ""i play soccer, cheat girls, wear khaki coloured cargos"" haircut ; yup "
125,1,"could go a fat bitch my lap"" "
126,1,"17 missed calls!!!! ;;""das yo p.o bitch twitter finna screamn freemoneymelle "
127,1,"ya side bitch gotta know rule this shit..anybody ask my cousin jersey thinkin bout moving"" lmmfao ;;;; "
128,1,"; 3 | amo los pie 8221;"" fuck yeah "
129,1,"hoe thinking meat slap as ;;"" ainna bruh "
130,1,"yall bitch wit edge doing most talking ;;;"";;; "
131,1,"yall still going trick treating year nah?""hell yeah ima da sweet tooth bandit steal bitch bag n shit "
132,1,"wanna sex my mom fuck right that pussy i came from"" damn got hacked like fuck "
133,1,"she kiss u her eye open watch bitch!""lmfao "
134,1,"a woulda coulda shoulda hoe ;;"" "
135,1,"happy bday bitch nigga ""preciate bitch roll up! "
136,1,"used send bitch up"" "
137,1,"ugly bitch like i'm own wcw duh bitch ain't nobody elses;;"" "
138,1,"nigga know hacky sack hoes."" ...nah, throw look pass lmao "
139,1,"glad i'm getting outta atlanta. nothing a bunch nigga &amp; outta jail &amp; dumb bitch mad kid fuckin em."" "
140,2,isn't ghetto.....it's smart i'm this idc 
141,1,"would wife hoe cuz wouldn't care we cheating each other."" ...why force relationship the first place? "
142,1,"single an excuse be hoe."" "
143,1,"white boy power bitch"" black power bitch "
144,1,"let get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" bro white dude no chill. "
145,1,"bitch u been"" around world back. you been? "
146,1,"i get dick sucked yo party a bad bitch i'm fr gone set off ;;;;"" *by * "
147,1,"oomf soooo cute. he probably ha hoe him lot."" "
148,1,every cartoon alway saving hoe lmao. lmao damn captain saveahoe 
149,2,want get nose these bad bois scally chav sockfetish stinking hot sox leg 
150,1,"wish wa bitch like brother keezy ;"" ooooow bet do "
151,1,"dressed cat halloween you are basic."" ...or a pussy "
152,1,"pornhub get gaming stream feature these dumb bitch gtfo"" get it katie&lt;3 "
153,1,"stop scared choke during sex u bitch niggas. she;ll like it."". say guy hit woman of bed. foh "
154,1,"ha well iguess make hoe loyal bro"" theyll never loyal y hoe nig "
155,1,"oh man.. ""its 5 am, off molly, ho the fuck ya seed at??"""" fixed "
156,1,"not man you refer every girl a bitch"" "
157,1,"lmfao cat started beating shit of me"" nigga finally got pussy?!? nigga!!! "
158,2,"peel peel bring back rewind back i'm they move shaq the line"" ooooow tf said trash!!? "
159,1,"io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha "
160,1,"naw old tape. new cover . my upcoming mixtape kingofthehill"" yeah i'm waiting that hoe mayne! "
161,1,"ol dirty foot bitches.."" wa funny me. "
162,1,"that's i get yellow flag being amazing ;;"" hell yeah niggy "
163,1,"got time bitch be actin iffy."" "
164,2,"ucfpinkparty come stay alive knight nation!!!!"" is still early bird special. comeatmeut "
165,1,hoe ain't loyal ; they ain't smfh &amp; wonder nobody decent want 
166,1,"bruh, stud keep thinking i'm soft hell. ask ya girl many time screamed wa bitch. oh okay. stfu."" bye hoe! "
167,1,"dry pussy bitch always blame on condom;"";;;; "
168,1,shut yo bitch up! ;; 
169,1,"gucci mane jail dropping mixtapes every month you hoe can't even text back"" "
170,1,"love hoe then money wats wrong niggas"" "
171,1,"loyal bitch the burbs without daddy issue like finding holographic mewtwo."" ...sounding like over lol "
172,1,"easy cum, easy hoe"" that's fact ! "
173,1,charlie sheen too real major fucking respect charlie sheen. 
174,1,"wish had bae ;"" got the hoe tho "
175,1,"fuck twerking bitch you cook ?"" "
176,1,"bitch wtf"" "
177,1,"; shut zoe"" fight pussy; zoe? i'm good, man."" are good ma'am. move along "
178,1,"lmao fucking snake bitches"" @ em "
179,1,"big booty hoe everywhere sheesh ;"" damn ;;; "
180,2,"stay tuned for update the report 1b be 8-10 weeks"" bum "
181,2,"; ""i play soccer, cheat girls, wear khaki coloured cargos"" haircut 8221; yes lmfao"" "
182,1,"oregon choke every year get the field trash program"" rft "
183,1,"def cowboy lol rt terrell owen wa best eagle &amp; cowboy ever"" ..dude cried like bitch tv, romo "
184,0,lmfaoooo hate black people is there's black people nigger 
185,1,"could u this me bitch"" potent "
186,2,pissed lad past out. would lick dirty sol he slept. 
187,2,love frat boy w/ soft long sol 
188,2,sexy lad hot sol arches. 
189,1,"nah fam gotta cheat the hoes"" depends the female feel "
190,2,";;;;;"" got hick lol "
191,1,"new twitter confusing shit of me."" go back south america bitch "
192,1,"toto mean or vagina?""i think pussy cause toto santi like nasty pussy "
193,1,"what he actually doe choose ugly bitch you? ;""her must fat! "
194,1,"bitch kill vibe ya tried. ;;;"" dis i love miley :* "
195,1,"i'm tired bitch saying look mean.. ;"" nigga big af, wear tight shirts, grim everybody. "
196,2,"10 bird grandkids may never see, thanks climate change climate "
197,1,"""stay beautiful bitch"""" "
198,1,"wutkinda r purple. ceeeleee""man gurl wa jus playin the ""stupid hoe track. in still shitted sum gurls "
199,1,"money getting taller bitch getting blurry"" "
200,1,"ain't never seen bitch obsessed they nigga;"" i'm obsessed mine ; "
201,1,kobe stay talking trash. let's forget meant do one. smh. 
202,0,"""at least i'm a nigger"" lmfao "
203,1,"people always asking what i'm mixed with."" a bad asian bitch lol "
204,0,"ariza snake a coward"" at least isn't a cripple like hero roach lmaoo "
205,2,"; foster home imaginary trash; whoa chill"" show wa everything tf "
206,1,"am lowkey tired."" ...if tired, quiet go sleep hoe! "
207,1,; stop bringing weird nigger my mentions! ; 
208,1,"don't love hoe ;;"" "
209,1,"yo girl cant homeboy a ol weak bitch nigga!"" "
210,1,"think worst advice gave wa be pussy speed up"" lol"" "
211,1,"quote tweet your favorite animal.""pussy "
212,1,"hate stripper tell they're ""dancers"". hoe, ballet dancer pop pussy beethoven. a stripper!"" "
213,1,"andrewbryant: poff ha double vision 2 beer poff: ... double pussy ;"" smh "
214,1,"bitch twerk the computer.... me: ""in ya ;, ya damn ;;;"""" "
215,1,"; ; prince, is art. 8221; nobody takin bitch! "
216,2,"61% welfare/government aid claimed white people. y'all black slander trash now."" "
217,1,"bitch care just play role."" "
218,1,"took while you find me, i wa hiding the lime tree."" dis bitch da wrong tree bro. "
219,0,"drake new shoe will released nike/jordan.... yes, there's glitter the shoe ....dudes fag "
220,2,"inna di ghetto!!!"" alone lmaoo "
221,2,"; hoe austin; teach u austin.""i teach u to get curved? that's i know "
222,1,"bitch can't cook know suck dick .."" s/o to the one can both! "
223,1,"fat hoe get chose"" lol "
224,1,"hoesaintloyal"" well they're hoes,no one expects to loyal "
225,1,"ol bitch ass"" "
226,1,"bruh im tired nigga retweetin miley cyrus naked bitch aint type bad"" lmaooo "
227,1,"because tony romo the mavs game dont mean still a bitch lmao.. fuk cowgirls"" lol bitch fuck "
228,1,": holy shit, freddie highmore wa charlie the chocolate factory"" me: *rolls the floor, laughing* "
229,1,"""i want have sex my gf i feel like i'm using her.."" - anonymous"" whata faggot "
230,1,"@ one your follower this ;; @ somebody, bitch you "
231,1,"ya bitch always bitching clearly care!"" just annoying bitch! "
232,1,"catfish hoe thinkin slick.. nigga catching ;"" "
233,1,"can't worry a bitch ain't worried bout me"" real "
234,1,"side hoe for insecure nigga can't handle real one."" "
235,1,";;;;rt lmao! bitch come scooting the tent like about fuck shit up!"" ;;; "
236,1,"cousin said share hoe brothers. said sharing caring he love his brother ;"" "
237,1,"i'm hungry ionn wanna spend money food;""broke hoe problem ;;;; "
238,1,"dese hoe lyin all u nigga"" "
239,1,oh yeah fuck bitch 
240,2,"eli manning threw nfl-leading 27th interception the season."" lmao trash "
241,2,usc senior rb anthony brown call head coach steve sarkisian racist quits team. ; he's bitch 
242,1,"guess what? also zero time your mansplaining! adios!"" stfu pussy "
243,2,chilling ;; sexy scally lad 
244,1,"ain't sharing bitch mine you mine ;"" "
245,1,"money impress simple broke bitches"" "
246,1,"pisces never anybody's bitch, don't let people control change them."" rigghhht "
247,2,"tuku ho idk blah blah blah"" ;;; "
248,2,"i'm mad cuh hahaha"" suure.. tuku ho ita! ;; "
249,1,"hoe crazy"" "
250,1,"ain't ever gonna a slice bitch."" kevin hart. (: "
251,1,"oomf fuckin fine tho ; dam"" @ her, be bitch. "
252,1,"wonder the girl gave head 24 boy a drink magaluf ha twitter"" probly sends nude fag "
253,1,"newsatquestions yeah bitch, yeah bitch, call _______: a.) maybe b.) steve-o c.) later d.) jesse pinkman"" "
254,1,"hickies between thigh right her pussy &gt;&gt;&gt;"" only right "
255,1,"would still love when i'm longer young beautiful?"" no. ugly monkey ass. "
256,1,"y'all come the front.""bitch ain't coming "
257,1,"faggot bitch"" "
258,1,"yea, i'm my ipad. don't work friday. let's ball faggot ""i work 2-5 "
259,2,scally lad would get 
260,0,gerryshalloweenparty halloween wa yesterday stupid nigger 
261,1,"chrus still supahot tho"" *walks to teacher test, drop test that bitch fohead* "
262,1,"; love eating pussy lol never get full lol; can eat shit forever lol"" ever. "
263,1,"; ; slush ;;hoes nasty anyway fam"";;them hoe taste like meds"";;; "
264,1,"; slush ;;hoes nasty anyway fam""; "
265,1,"bobby bitch-by getting live fuck"" hell yea play hoe my workout "
266,1,"yo bitch gucci mane rt : bitch stoner ;; "";;;;;; "
267,1,"can ride bitch no handle bars"" "
268,1,"if ain't hoe get out traphoussseeeee"" "
269,2,"15 sad tv character death we're still bitter over... ""ned stark wa man "
270,1,"harbor bitch all ""party bus hoes"""" lol all? "
271,1,"pussy"" love "
272,1,"ultraviolence video, coming little bitch! mtvhottest lana del rey bitchy promo "
273,1,my way fuck bitch lmfao kittycopter 
274,2,"smuggler explains he helped fighter along ""jihadi highway"": "
275,1,"aww avis look cute together ; ;;;"" i gotta get ike avi this bitch ? "
276,1,"simple, dont a hoe=dont worry being exposed ;"" fight me""why ? "
277,1,this bitch boosting her size exactly most healthy tho 
278,1,"bet be bitches! ;;;;;"" ;; kim bye!!! "
279,1,"damn near gotta protect tweets.. stalker annoying"" got dope dick. drive bitch loco "
280,1,"i'm making marack girlfriend ."" aye b pullin hoe like taught "
281,1,"bruno fag boy"" love me. "
282,1,"; must a bitch; are ;;; sike naw"" why always beefing ; "
283,2,"6-1, yankees look rally the bottom the 9th."" rallycap "
284,1,"; take advantage a nice person;@ hoes""@ everyjuan "
285,1,happy birthday bitch nigga thanks pal 
286,1,"sad knowing most hoe fuck bc you ain't got stacks."" wait till friday "
287,1,"cinco shit harder fucc nigga""yee you fucc wit rich homie cuz dat ya homeboy fucc nicca "
288,1,"ewww said last sunday..as the last sunday wa there. read again nigs"";;;;; "
289,1,"only punch real nigga the face cause pussy nigga gonna punch right back"" strong mush shake.. "
290,1,"pussy still fresh"" &lt;----- something stank girl say. "
291,1,"slapping one greatest things. haha. ;"" slapped girl the ass. . got mad aint get pussy a week "
292,1,"yeah texan so much better fucking retard"" see you're mad this. "
293,1,"nd wtf up dark bitch blonde.. please several seat hoe!"" ..looking like black&amp;milds here "
294,1,"there's lane bitch need stay ;"" left n get right fuck outta face ;;; "
295,1,"hate boy deny they bitch ;;"" smh "
296,1,"ya nigs there still saying y'all eat butt?!"" a straight face! "
297,1,"im bos bitch"" ...that need sit a corner "
298,1,"he's hoe , can't"" "
299,1,"and paul thinkin bout gettin rental da weekend ;;;""oooh shit bitch betta stay da street "
300,1,"bitch hold nigga when get locked up... if nigga go college the military a different story. ;"" "
301,1,"do friend hate me"" you ratchet hoe.. "
302,1,"love these fuck niggas"" hoes* "
303,1,hot meat sexy fuck scally lad. would love meet and trainers. 
304,1,sniff perved scally lad. fuck yeah. 
305,1,"bitch love sosa"" "
306,1,"; legit watched for 30 40 second ;;so i wtf"" prob cause retarded smh "
307,1,"should name cat, ideas?"" mr pussy "
308,1,woof woof. sexy thug boy scally. 
309,1,"u see damn phone ringing? ;;;"" married bitch make demands!!!! you haven't called "
310,1,"tevin my favorite sophomore think he's funny"" really not. lmaoo a little hoe "
311,1,"10 sex position ""naw what u call fucking soul outta bitch ; "
312,0,"bored supposed be cute, faggot?"" sometimes "
313,2,"one man trash ; another man treasure ;"" "
314,1,"don't got type. bad bitch the thing like"" *iongotnotype "
315,0,"lassen cc , coach want me"" feel youll get my nig doubt "
316,1,"god teeth , gold chain white bitch , cocaine"" "
317,1,"me hoe, me hoe;"" shhhhh "
318,1,"d.c., call rollers, chiraq call thots."" across america have known a hoe. "
319,1,"i'm gonna miss bitch a bus driver...""no won't. lie "
320,1,"hate bitch try put in friendzone. bitch i'm tryin score put in endzone ;;;"" on. my. soul! "
321,2,ashley young ha tried deny bird s*** landed his mouth ---&gt; hahaha 
322,1,"yall gimped up??"" ain't tht bitch huh lol "
323,2,"take for ride ;; ""#redneck"" woof woof "
324,1,"oh god love victoria mitchell"" my bitch love "
325,1,"long distance shit wack knew bitch wa cheating""- uh oh "
326,1,he's it right ;;; bitch smh 
327,1,"ban dat pussy life &amp; gotta pay 2.5 millon dollar fine"" "
328,1,"rose red violet blue nigger black, know that's true."" "
329,2,"sitting my window sill, window open, bird try fly in. smacked it. protecttheanimals"" "
330,1,"a nigga gon a nigga, a nigga."" sound fuckin retarded "
331,2,video entire medium likely mock. am a crybaby 
332,1,"i'm even shy stfu"" kikis mom: hi angelique angelique: smile *dips cracker soup* "
333,1,"tim tebow got cut every team wa nfl he already got hoe me in starkville. smh."" ;;;; "
334,1,"karma a bitch damn godprotectshisangels ;"" *sips tea* "
335,1,fuckin hot gym pussy fuck yeah 
336,2,jihadi patron hajjaj al-ajmi arrested kuwait airport 
337,1,"can call fireman cause turn hoe on."" "
338,1,"could never bby a lil dick thts i got a abortion the last bitch""- oh god "
339,1,"watch woman try argue me like have dick actually fucked pussy before"" hate bitch that "
340,1,"smoke weed public, fuck cop man, what wanna do, don't you, run they come"" you retarded? "
341,2,"tweety bird tho ;;;;"" "
342,1,pussy sweet like watermelon thotermelon 
343,2,twitter rapper dm their trash link 
344,1,"loud bitch annoy me"" "
345,1,"eventually every bitch turn that hoe."" # truuu "
346,1,"swear oomf try talking me tomorrow.."" @"" pussy "
347,1,"bitch pretending be tf crazy.."" ain't never lied... "
348,1,"k bye hoe"" um bye .. "
349,0,"jackies retard blondeproblems"" least can make grilled cheese! "
350,1,"ima keep giving pussy nigga ah reason hate !"" "
351,2,photo: is sole heaven 
352,0,stacey dash ; baddest bitch evaaaa 
353,1,"side bitch sunday ;;;"" ;;; "
354,1,fact baldheaded bitch made shit. ;;;; lmao ;; 
355,1,"fuck wit u then tweakin hoe"" shmurda! "
356,2,actin like the 7th day ;spook 
357,1,"i'll break lil bitch neck won't even feel sorry it"" savage "
358,1,is fucking hot!! scally sneakersex sockfetish sniff trainersex love some kinky scallies 
359,1,"y'all dumb nigga so pressed have hoes. y'all weak fuck fuck"" ...weed hoes, oreo too. "
360,1,"can turn yo bitch a eaterrrrrrrrr"" "
361,1,"don't trust dese hoe nikki told 51st i stay all fan screen shot asap"" finna come chiraq shoot sumn "
362,1,"; aye yall ima tryout the bowling team frfr; tryout passed tho"" there two retard "
363,1,u got u want bitch ! enjoy now is crazy party would love attend. 
364,2,"colored contact your eyes? blinder mine. cause can't see at all."" lmao "
365,1,"fact the dude hoe say don't got hoes;"" "
366,1,"i'm rea start smacking bitch period !"" bluffin it best "
367,1,"life bitch, then die thats we get high, cause neva know you're gonna go"" sister perfect (: "
368,1,"one u on drugs, it but still wrong ; hahahahahahah im bitch sometimes (: "
369,1,"i'm feeling pretty fuckin ghetto"" smh "
370,2,"swears i'm 1 man"" easily"" easily"" behind austin"" nip? "
371,1,is true ride die bitch ; the fuck hahahahah 
372,2,h.g.wells charlie chaplin history photography 
373,1,"i see bruno's bitch on twitter now. wtf"" bruno's that see (drake voice) "
374,1,"i'm to cool faggot chill"" tf cool nigga "
375,1,"i'm sure bitch"" frfr tf "
376,1,"twitter not source news broadcast fucking retards"" is nbc, abc, cnn, fox, etc all keeping quiet. "
377,1,"got couple bitch saying know but i;ma let money talk me ;;"" i'm like... wwyd "
378,1,"grudge for weirdos""and bitch "
379,2,"told mariam but cigarette her birthday"" also called trash rn "
380,2,"brownie tonight"" kind?!?! "
381,1,"text back? don't give fuck, i'll text another bitch"" damn someone hurt lol "
382,1,ummmmmm okay got hoe left right ;; yah thang! 
383,1,"using y=mx+b find slope that ass"" "
384,2,fit lads! nice gear! scally lad n trainer would get 
385,1,hell yeah bro! fuck yeah sexy scally lad hot gear 
386,1,helping a mate!! love scally play. fuck yeah 
387,1,lad lads! fuck yeah. love scally lad action. hot trainer too. 
388,1,"next year bitch gonna like gotta promise won't expose ;;;"" "
389,1,"; hot!! rt lick it, bitch 8221;"" fuck yeah. eat trainer u dirty fucker "
390,1,"; y'all think celebrity pussy different the locals? ;; yeah meghan good is"" "
391,2,"""i saw ajumma walk in beginning saying, 'wow, is trash i can't even listen it..'"" ;"" lmaoo "
392,1,need sox fuck yeah. love kinky scally lad w/ rank sox sneak 
393,1,"don't ever expose female like that.. that's childish.."" bitch nigga shiiii..... "
394,1,"yasss"" *trys new thing bestfriend*"" *bitch do love* "
395,2,dude remember wop video? omg did find 
396,1,thick raw fuck damn man pussy getting workout. 
397,2,"rawr!! rt ""my"" sexy french scally. love him! frenchscally sexy scally woof woof "
398,1,"nothin life free.. of bitch need write on ya panties"";; "
399,1,"one you bitch want of burrito u catch at potosino"" huh? haha "
400,1,"nigga whole hoe here cuz"" had said better..; "
401,1,"hardcore way eat mac cheese 1. boil water 2. snort cheese powder 3. drink boiling water 4. fuck bitches"" "
402,1,"yourenotmytype my fade perpetually fresher yours."" that's real bitch rite "
403,1,annoying bitch i love judyann's pretty!!!!! 
404,1,lmao bitch got some huggies 
405,1,"hi bitch bitch bye bitch"" "
406,1,"doe look like bitch?"" "
407,1,"chase money ; ; hoe ; ;;"";;;; "
408,1,"can't stand ""i know i want"" nigga ;"" bitch* "
409,1,"i'm my way love chav""hot"" sexy scally fucker. "
410,1,"newly gay bitch kno shit works"" "
411,1,"bitch want a real job just become stripper lol"" lol. "
412,1,"awww meat meat his feelins""i ainn n feeling bitch "
413,1,"want snake bite , industrial piercin &amp; tattoo""dem hoe accessory dea ;;;; "
414,2,baby albino ; 
415,1,"hoe ain't loyal."" "
416,1,"yassssss, ordered chinese ;"" bitch just ate taco fat fuck "
417,1,made bitch lunch. bitch love lunch. 
418,1,"""a brainer"" soon a this bitch get rich political power, view change! political whores! 8221; "
419,1,"""a pussy day keep devil away"" - "
420,1,"""ain't about bitch""... doe mean? "
421,1,"""all bitch want baby, don't want children."" "
422,1,"""and bitch must lost"" ;; "
423,1,"""baby like left side"" bitch can't there cuz street on that side twitter said ain't real you "
424,2,"""bae"" sound like a ghetto word. use something else "
425,1,"""batter wee cunt jewis"" co fucked ex? emma isnt battering girl i've nailed?ive moved on,stop a pussy n it urself. "
426,1,"""bleed hoe!!!"" -alexa "
427,1,"""boolin' the bando wit few bitches"" "
428,2,"""brownies my brownie"" love movie. ; "
429,1,"""but need bad bitch that's hotter me"" might the realist shit partynextdoor ever said. that's i feelin everyday "
430,1,"""by way do punch bitches."" "
431,1,"""caesar home"" rt ; ""theres much bitch look like. let start ape shit;;;"" "
432,2,"""chinese maverick: were communicating comrade , u know giving imperialist yank birdie"" "
433,1,"""dad say hi my snapchat"" dad "";;;; duce bitch"" ;;;; "
434,1,"""do believe hoe not fact loyal?"" ""i disagree that, do believe are fact loyalest bunch,these hoes"" "
435,1,"""don't know ugly bitches! know broke niggas!""-- "
436,1,"""don't make make fall live a nigga like meee..."" bird 1&amp;2 my favorite song weeknd "
437,0,"""don't worry the nigga see, worry the nigga don't see... dat's da nigga fuckin yo bitch."" "
438,1,"""don't ever give pussy away. keep tight, alright?"" "
439,1,"""dropped stack cause bitch i'm on"". - song called ""dope"". download mixtape here: "
440,1,"""dumb bitch dumb things"" "
441,1,"""eat pussy like real nigga hungry"" "
442,1,"""eff it. let's go the cripple."" "
443,1,"""everything look better a bitch next it"" "
444,1,"""facto care you hoe your look like this? "
445,1,"""for every bad bitch is nigga tired fucking her"" "
446,1,"""foreign chick, lie.. man bitch beautiful"" "
447,1,"""fresh nigga you kno need clean bitch... kno i'm working cuz wanna see team rich."" "
448,1,"""fuck 5/0 make own rules. suck dragon ball bitch call goku"" "
449,2,"""generate ascii box nodejs"" i see the ability bring flappy-bird node via ascii tube bird ^_^ "
450,1,"""get that shit bitch is fine bear"" "
451,1,"""get as back detroit ya fuckin' wigger!"" "
452,1,"""girls dated, okay i ain't mad yo, unless stabbed in heart, love hoe"" "
453,1,"""how you know twitter password"" bitch please "
454,1,"""have seen shows? you seen hoes? i hot would be thick?"" "
455,1,"""he bitch hitting hoe"" ;;;;;;;;; "
456,1,"""he married a white woman... lucky sum-bitch"" - uncle ruckus "
457,1,"""he wanna my nigga, i'm trinna his saving account ;"" ;;;; omg imma funny bitch man, that's real shit ; "
458,1,"""her great grandma hoe,her grandma hoe,her mom hoe, she's a hoe! a long line hoes!"" -grandpa carl everyone "
459,0,"""hey go look video man that found the kidnapped girl ohio........what nigger"" - shitmybosssays "
460,1,"""hey pussy still there?"" "
461,2,"""how we draft those gung-ho folk send to afghanistan other war zone they show their... "
462,1,"""how hotter is it?"" ""a bitch."" "
463,1,"""how u talking hoe bout bro n em.. you talking hoe bout bro n em"" "
464,1,"""how doing, crazy bitch?"" hilarious! "
